X: (70000, 28, 28, 1)
y: (70000, 10)
number of points of dataset: 70000
number of train dataset: 56000
number of valid dataset: 7000
number of test dataset: 7000
*****************************
Start Learning
alpha=3.16227766017,	lambda=0.01,	ValidAccuracy=0.103571428571,	Num_of_errors=6275,	Num_of_points=7000
alpha=3.16227766017,	lambda=0.0316227766017,	ValidAccuracy=0.103571428571,	Num_of_errors=6275,	Num_of_points=7000
alpha=3.16227766017,	lambda=0.1,	ValidAccuracy=0.103571428571,	Num_of_errors=6275,	Num_of_points=7000
alpha=10.0,	lambda=1e-05,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=3.16227766017e-05,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.0001,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.000316227766017,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.001,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.00316227766017,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.01,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.0316227766017,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
alpha=10.0,	lambda=0.1,	ValidAccuracy=0.104285714286,	Num_of_errors=6270,	Num_of_points=7000
End Learning
*****************************
time for learning: 18613.72226sec	(310.228704333min)
Validation Best Accuracy: 0.988285714286
Validation Best Error Rate: 0.0117142857143
Validation Best Alpha: 0.1
Test Accuracy: 0.983
Test Error Rate: 0.017
