[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000135935639088 -  18.3s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000251188643151 -  18.4s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000341454887383 -  18.5s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000464158883361 -  18.6s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000857695898591 -  22.9s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00116591440118 -  25.5s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00158489319246 -  28.1s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00292864456463 -  40.9s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00398107170553 -  53.7s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=13.5935639088, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=13.5935639088, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=18.4784979742, gamma=0.0001 .......................
[CV] .............. kernel=rbf, C=18.4784979742, gamma=0.0001 -  18.2s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000135935639088 -  17.9s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000184784979742 -  18.0s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000251188643151 -  17.0s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000[CV] kernel=rbf, C=10.0, gamma=0.0001 ................................
[CV] ....................... kernel=rbf, C=10.0, gamma=0.0001 -  20.4s
[CV] kernel=rbf, C=10.0, gamma=0.000184784979742 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000184784979742 -  18.7s
[CV] kernel=rbf, C=10.0, gamma=0.000251188643151 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000251188643151 -  18.8s
[CV] kernel=rbf, C=10.0, gamma=0.000341454887383 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000341454887383 -  19.0s
[CV] kernel=rbf, C=10.0, gamma=0.00063095734448 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00063095734448 -  20.5s
[CV] kernel=rbf, C=10.0, gamma=0.000857695898591 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000857695898591 -  23.3s
[CV] kernel=rbf, C=10.0, gamma=0.00158489319246 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00158489319246 -  28.6s
[CV] kernel=rbf, C=10.0, gamma=0.00215443469003 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00215443469003 -  34.0s
[CV] kernel=rbf, C=10.0, gamma=0.00292864456463 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00292864456463 -  39.6s
[CV] kernel=rbf, C=10.0, gamma=0.00541169526546 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=10.0, gamma=0.0073564225446 .......................
[CV] .............. kernel=rbf, C=10.0, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=10.0, gamma=0.01 ..................................
[CV] ......................... kernel=rbf, C=10.0, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=13.5935639088, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000184784979742 -  18.5s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000251188643151 -  17.9s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000341454887383 -  17.7s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00063095734448 -  21.1s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000857695898591 -  22.7s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00116591440118 -  24.1s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00215443469003 -  33.8s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00292864456463 -  42.1s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00398107170553 -  50.8s
[CV] kernel=rbf, C=13.5935639088, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=13.5935639088, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=13.5935639088, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=13.5935639088, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=18.4784979742, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000135935639088 -  17.1s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000184784979742 -  17.5s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000341454887383 -  18.1s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000464158883361 -  19.2s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00063095734448 -  20.3s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00[CV] kernel=rbf, C=10.0, gamma=0.0001 ................................
[CV] ....................... kernel=rbf, C=10.0, gamma=0.0001 -  20.7s
[CV] kernel=rbf, C=10.0, gamma=0.000184784979742 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000184784979742 -  18.7s
[CV] kernel=rbf, C=10.0, gamma=0.000251188643151 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000251188643151 -  18.9s
[CV] kernel=rbf, C=10.0, gamma=0.000464158883361 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000464158883361 -  19.4s
[CV] kernel=rbf, C=10.0, gamma=0.00063095734448 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00063095734448 -  20.7s
[CV] kernel=rbf, C=10.0, gamma=0.000857695898591 .....................
[CV] ............ kernel=rbf, C=10.0, gamma=0.000857695898591 -  22.2s
[CV] kernel=rbf, C=10.0, gamma=0.00116591440118 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00116591440118 -  24.1s
[CV] kernel=rbf, C=10.0, gamma=0.00215443469003 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00215443469003 -  33.7s
[CV] kernel=rbf, C=10.0, gamma=0.00292864456463 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00292864456463 -  41.5s
[CV] kernel=rbf, C=10.0, gamma=0.00398107170553 ......................
[CV] ............. kernel=rbf, C=10.0, gamma=0.00398107170553 -  51.8s
[CV] kernel=rbf, C=10.0, gamma=0.0073564225446 .......................
[CV] .............. kernel=rbf, C=10.0, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=10.0, gamma=0.01 ..................................
[CV] ......................... kernel=rbf, C=10.0, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=13.5935639088, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000135935639088 -  18.2s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000184784979742 -  18.4s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000251188643151 -  17.4s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000464158883361 -  19.1s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00063095734448 -  21.3s
[CV] kernel=rbf, C=13.5935639088, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=13.5935639088, gamma=0.000857695898591 -  21.6s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00158489319246 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00158489319246 -  29.0s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00215443469003 -  33.7s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00292864456463 -  39.9s
[CV] kernel=rbf, C=13.5935639088, gamma=0.00541169526546 .............
[CV] .... kernel=rbf, C=13.5935639088, gamma=0.00541169526546 - 1.1min
[CV] kernel=rbf, C=13.5935639088, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=13.5935639088, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=13.5935639088, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=13.5935639088, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=18.4784979742, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000251188643151 -  17.5s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000341454887383 -  18.3s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000464158883361 -  18.4s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000857695898591 -  22.8s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00184784979742 -  17.9s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000251188643151 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000251188643151 -  17.7s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000341454887383 ............
